Time,YawAngle,WindSpeed,BldPitch1,RotSpeed,RtTSR,RotTorq,GenPwr,RtAeroCp,RtAeroCt,RtAeroFxh,B1RootMxr,B1RootMyr,B1RootMzr,RtVAvgxh,RtVAvgyh,RtVAvgzh,RtSkew,YawBrMzp,TwrBsMyt,TwrBsMxt
0.0,-15,6,0.0,7.28,8.074,1.799e-15,243.7,0.4872,0.82,221000.0,321.5,438000.0,1296.0,5.944,-0.06413,0.5192,5.029,-1.002e-15,-805.1,1.51
0.108,-15,6,0.0,7.275,9.471,295.0,239.3,0.4194,0.8388,164200.0,183200.0,933600.0,-10020.0,5.066,-0.006053,0.5205,5.867,-98.0,1380.0,-0.1799
0.216,-15,6,0.0,7.253,10.29,477.8,236.5,0.3888,0.8494,140100.0,478200.0,1596000.0,-5206.0,4.65,0.07326,0.5084,6.304,-116.4,1655.0,-637.7
0.324,-15,6,0.0,7.269,10.42,386.5,236.8,0.3941,0.8498,137000.0,769700.0,2552000.0,-12890.0,4.596,0.1444,0.5053,6.522,-50.69,-358.2,-542.3
0.432,-15,6,0.0,7.292,10.06,408.6,238.4,0.421,0.8657,151000.0,1225000.0,3269000.0,-11750.0,4.781,0.1978,0.4925,6.335,-47.9,1803.0,183.5
0.54,-15,6,0.0,7.28,9.415,316.0,241.1,0.4392,0.8672,172400.0,1644000.0,3640000.0,-10490.0,5.103,0.2215,0.4696,5.81,61.11,5174.0,-585.4
0.648,-15,6,0.0,7.292,8.848,271.3,242.3,0.4602,0.8478,190900.0,1989000.0,3741000.0,-17330.0,5.432,0.2147,0.445,5.197,131.1,6478.0,-380.0
0.756,-15,6,0.0,7.311,8.467,451.5,242.8,0.4802,0.8368,207200.0,2269000.0,3854000.0,-16640.0,5.697,0.2079,0.4179,4.684,74.97,10390.0,553.4
0.864,-15,6,0.0,7.326,8.308,568.1,246.9,0.5011,0.837,216600.0,2408000.0,3885000.0,-16880.0,5.823,0.2094,0.3914,4.359,30.83,16140.0,-373.1
0.972,-15,6,0.0,7.358,8.261,509.3,255.2,0.5111,0.8397,220900.0,2428000.0,3717000.0,-14840.0,5.871,0.2359,0.3686,4.262,54.91,19380.0,-153.0
